,concept_1,concept_2,colexification_count,age_acquisition_diff
516,BLAME,REGRET,1,100.0
517,BLAME,SHAME,1,39.0
518,BLAME,SUSPECT,2,144.0
519,BLAME,THROW,1,64.0
520,BLAME,WRONG,1,84.0
521,BLANKET,CLOTHES,2,17.0
522,BLANKET,COAT,2,14.0
523,BLANKET,COVER,1,78.0
524,BLANKET,DEER,2,70.0
525,BLANKET,RUG,17,22.0
526,BLANKET,VEIL,1,203.0
527,BLANKET,WOOL,1,36.0
528,BLANKET,WOUND,2,161.0
529,BLOOD,BODY,1,14.0
530,BLOOD,CHOP,1,64.0
531,BLOOD,CLAY,1,105.0
532,BLOOD,COTTON,1,53.0
533,BLOOD,DANGER,1,47.0
534,BLOOD,DOG,2,84.0
535,BLOOD,DOOR,1,39.0
536,BLOOD,EDGE,1,55.0
537,BLOOD,ESCAPE,1,100.0
538,BLOOD,FIREWOOD,3,78.0
539,BLOOD,FRUIT,2,34.0
540,BLOOD,GROUND,1,5.0
541,BLOOD,HEAD,2,72.0
542,BLOOD,HEART,4,28.0
543,BLOOD,HILL,1,3.0
544,BLOOD,HOLD,1,14.0
545,BLOOD,HUNGER,1,22.0
546,BLOOD,INSECT,1,30.0
547,BLOOD,IRON,1,28.0
548,BLOOD,LAW,1,130.0
549,BLOOD,LIVER,12,100.0
550,BLOOD,LOCK,1,75.0
551,BLOOD,MOTHER,1,109.0
552,BLOOD,MURDER,2,128.0
553,BLOOD,NEEDLE (FOR SEWING),1,11.0
554,BLOOD,NIGHT,22,31.0
555,BLOOD,NUMBER,1,14.0
556,BLOOD,OATH,1,155.0
557,BLOOD,OTTER,1,130.0
558,BLOOD,PIG,1,20.0
559,BLOOD,RAIN (PRECIPITATION),2,42.0
560,BLOOD,REFUSE,1,141.0
561,BLOOD,SALT,4,20.0
562,BLOOD,SAP,28,211.0
563,BLOOD,SMOKE (EXHAUST),1,25.0
564,BLOOD,SONG,2,11.0
565,BLOOD,STRAIN,1,169.0
566,BLOOD,STRENGTH,1,72.0
567,BLOOD,SUN,1,72.0
568,BLOOD,SWEEP,2,28.0
569,BLOOD,TEAR (SHRED),1,11.0
570,BLOOD,WALK,3,47.0
571,BLOOD,WASH,2,67.0
572,BLOOD,WATER,6,100.0
573,BLOOD,WOMAN,2,5.0
574,BLOOD,WOOD,1,16.0
575,BLOOD,WRONG,1,9.0
576,BLOOD,YEAR,10,16.0
577,BOAST,CLOSE (EYES),1,95.0
578,BOAST,COVER,1,89.0
579,BOAST,DECEIT,1,141.0
580,BOAST,EMBRACE,1,114.0
581,BOAST,FAT (OBESE),1,142.0
582,BOAST,FIGHT,1,117.0
583,BOAST,GROAN,1,36.0
584,BOAST,HIDE (CONCEAL),1,122.0
585,BOAST,HOLD,1,111.0
586,BOAST,INCREASE,1,41.0
587,BOAST,JUMP,1,156.0
588,BOAST,LIFT,1,67.0
589,BOAST,LOOK,1,153.0
590,BOAST,MALE,1,5.0
591,BOAST,ORDER,1,34.0
592,BOAST,REFUSE,1,16.0
593,BOAST,REPAIR,1,3.0
594,BOAST,SCRATCH,1,109.0
595,BOAST,SHIVER,4,70.0
596,BOAST,SPLIT,1,3.0
597,BOAST,STRAIN,1,44.0
598,BOAST,SWEEP,1,97.0
599,BOAST,SWELL,1,50.0
600,BOAST,THROW,1,114.0
601,BOAST,TRY,1,149.0
602,BOAST,TURN,1,145.0
603,BOAST,TURN (SOMETHING),1,145.0
604,BOAST,WALK,1,172.0
605,BOAST,WASH,1,192.0
606,BODY,BUNCH,1,50.0
607,BODY,BURN (SOMETHING),1,50.0
608,BODY,BUTTER,1,61.0
609,BODY,CLOTHES,1,73.0
610,BODY,DOG,1,98.0
611,BODY,DRINK,3,56.0
612,BODY,EDGE,1,41.0
613,BODY,FAMILY,1,13.0
614,BODY,FAT (ORGANIC SUBSTANCE),2,31.0
615,BODY,FEVER,1,91.0
616,BODY,FLESH,74,144.0
617,BODY,FRUIT,1,48.0
618,BODY,HEAD,1,86.0
619,BODY,HORN (ANATOMY),1,41.0
620,BODY,HUNTER,1,75.0
621,BODY,LEAD (GUIDE),1,133.0
622,BODY,MOTHER,1,123.0
623,BODY,NOSE,3,61.0
624,BODY,PART,1,47.0
625,BODY,PEOPLE,1,14.0
626,BODY,POT,1,50.0
627,BODY,ROAD,2,61.0
628,BODY,ROPE,1,14.0
629,BODY,SALT,1,34.0
630,BODY,SELF,2,61.0
631,BODY,SHOULDER,1,3.0
632,BODY,SPIRIT,1,122.0
633,BODY,STATUE,1,139.0
634,BODY,SUN,1,86.0
635,BODY,WAIST,3,58.0
636,BODY,WASH,1,81.0
637,BODY,WHOLE,3,22.0
638,BODY,WOOL,1,20.0
639,BODY,YEAR,1,2.0
640,BOLT (OF LIGHTNING),CHOP,2,52.0
641,BOLT (OF LIGHTNING),ELECTRICITY,2,31.0
642,BOLT (OF LIGHTNING),ELEPHANT,1,147.0
643,BOLT (OF LIGHTNING),GRAPE,1,72.0
644,BOLT (OF LIGHTNING),LIGHTNING,131,38.0
645,BOLT (OF LIGHTNING),LOCK,1,41.0
646,BOLT (OF LIGHTNING),RAIN (PRECIPITATION),2,158.0
647,BOLT (OF LIGHTNING),ROPE,1,88.0
648,BOLT (OF LIGHTNING),SPLIT,1,12.0
649,BOLT (OF LIGHTNING),VICTORY,1,42.0
650,BOLT (OF LIGHTNING),WATER,1,216.0
651,BOLT (OF LIGHTNING),WORM,1,116.0
652,BOOK,DEW,1,117.0
653,BOOK,DUCK,1,50.0
654,BOOK,LETTER,38,42.0
655,BOOK,LOOK,1,11.0
656,BOOK,MARKET,1,114.0
657,BOOK,MONEY,1,33.0
658,BOOK,NEWSPAPER,2,78.0
659,BOOK,PAPER,67,15.0
