Unnamed: 0,concept_1,concept_2,colexification_count,age_acquisition_diff,assoc,Word2Vec_similarity
308,BACK,SHOULDER,10,39.0,1.0,0.6580076813697815
310,BACK,TOE,1,31.0,0.0,0.37057146430015564
311,BACK,TURN,1,8.0,1.0,0.5895590782165527
312,BACK,WAIST,13,100.0,0.0,0.5414756536483765
313,BACK,WHEAT,1,161.0,0.0,0.44274699687957764
314,BAG,NOSE,1,11.0,0.0,0.43183434009552
315,BAG,PEOPLE,1,64.0,0.0,0.3210831880569458
316,BALL,BOUNDARY,1,322.0,0.0,0.5459936261177063
317,BALL,BRIDGE,2,139.0,0.0,0.34915006160736084
318,BALL,CIRCLE,17,64.0,2.0,0.37693899869918823
320,BALL,EYE,1,17.0,0.0,0.37819957733154297
321,BALL,FRUIT,2,69.0,0.0,0.5000891089439392
322,BALL,HAMMER,1,128.0,0.0,0.34468650817871094
324,BALL,LINE,1,125.0,0.0,0.49113962054252625
326,BALL,ROPE,1,131.0,0.0,0.3681807219982147
327,BALL,SWALLOW,1,158.0,0.0,0.560156524181366
328,BALL,THROW,1,114.0,7.0,0.5931388139724731
329,BALL,WINDOW,1,81.0,0.0,0.501125693321228
330,BALL,WORM,1,103.0,0.0,0.19017770886421204
331,BAY,BERRY,1,47.0,0.0,0.4196180999279022
332,BAY,BLAME,1,8.0,0.0,0.3427395224571228
333,BAY,DITCH,1,44.0,0.0,0.46316689252853394
334,BAY,EDGE,1,28.0,0.0,0.22901178896427155
335,BAY,ELBOW,1,99.0,0.0,0.3989165425300598
336,BAY,GRAPE,1,39.0,0.0,0.39230093359947205
337,BAY,ISLAND,2,47.0,1.0,0.6670107245445251
338,BAY,LOVE,1,33.0,0.0,0.38993218541145325
339,BAY,OCEAN,1,19.0,18.0,0.5040127635002136
340,BAY,PORT,5,36.0,2.0,0.45645061135292053
341,BAY,SWELL,3,92.0,0.0,0.45493078231811523
342,BAY,VALLEY,1,3.0,0.0,0.5145238041877747
343,BAY,VILLAGE,1,19.0,0.0,0.4442138373851776
344,BAY,WOOD,1,67.0,0.0,0.27164945006370544
345,BEAM,BOW,1,123.0,0.0,0.39507654309272766
346,BEAM,BRIDGE,2,105.0,0.0,0.4415035843849182
347,BEAM,COLD,2,211.0,0.0,0.30994123220443726
349,BEAM,DOOR,1,180.0,0.0,0.3641534149646759
351,BEAM,GRANDFATHER,1,180.0,0.0,0.19192694127559662
352,BEAM,GRANDMOTHER,1,186.0,0.0,0.12569580972194672
353,BEAM,INSECT,1,111.0,0.0,0.3259883522987366
354,BEAM,JUMP,1,172.0,0.0,0.3939872682094574
355,BEAM,LATCH,1,8.0,0.0,0.25515130162239075
